ID,Vendor,Country,Product_Group,Sub_Classification,Shipment_Mode,Year,Quarter,Delivery_Delay_Days,On_Time_Delivery,Delivery_Status,Freight_Type,Freight_Cost_USD,Line_Item_Value,Freight_Cost_Ratio,Dosage_Applicable,Weight_Kilograms
45287,Aurobindo Pharma Limited,South Africa,ARV,Pediatric,Ocean,2011,3,0,On Time,On Time,Separate,5192.74,204250.0,2.54,Applicable,3313.0
45292,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Haiti,ARV,Pediatric,Air,2014,2,0,On Time,On Time,Separate,1694.3,11944.8,14.18,Applicable,140.0
45320,S. BUYS WHOLESALER,South Africa,ARV,Adult,Truck,2014,3,0,On Time,On Time,Absorbed,,650.7,,Applicable,
45327,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Namibia,ARV,Adult,Air,2014,4,0,On Time,On Time,Absorbed,,185220.0,,Applicable,
45343,MICRO LABS LIMITED,Vietnam,ARV,Adult,Air,2013,4,0,On Time,On Time,Separate,1666.35,20367.39,8.18,Applicable,539.0
45347,S. BUYS WHOLESALER,South Africa,ARV,Adult,Truck,2014,3,0,On Time,On Time,Absorbed,,3857.34,,Applicable,
45348,PHARMACY DIRECT,South Africa,ARV,Adult,Truck,2015,3,0,On Time,On Time,Absorbed,,1874.52,,Applicable,
45361,S. BUYS WHOLESALER,South Africa,ARV,Adult,Truck,2009,4,0,On Time,On Time,Absorbed,,152545.53,,Applicable,
45377,S. BUYS WHOLESALER,South Africa,ARV,Adult,Truck,2014,3,0,On Time,On Time,Absorbed,,6545.32,,Applicable,
45400,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Vietnam,ARV,Adult,Air,2009,4,0,On Time,On Time,Separate,4410.73,3068.8,143.73,Applicable,114.0
45440,Aurobindo Pharma Limited,Rwanda,ARV,Pediatric,Air,2014,2,0,On Time,On Time,Absorbed,,10299.71,,Applicable,2686.0
45442,Aurobindo Pharma Limited,South Africa,ARV,Adult,Ocean,2011,4,-15,On Time,Early,Separate,9726.53,911914.5,1.07,Applicable,45800.0
45460,PHARMACY DIRECT,South Africa,ARV,Adult,Truck,2015,2,0,On Time,On Time,Absorbed,,64.23,,Applicable,
45505,"Trinity Biotech, Plc",South Sudan,HRDT,HIV test,Air,2012,4,0,On Time,On Time,Separate,870.22,1504.0,57.86,Not Applicable,15.0
45536,S. BUYS WHOLESALER,South Africa,ARV,Adult,Truck,2013,2,0,On Time,On Time,Absorbed,,36.18,,Applicable,
45540,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,ARV,Adult,Air,2014,3,0,On Time,On Time,Separate,3251.35,98010.0,3.32,Applicable,1685.0
45608,"Trinity Biotech, Plc",Kenya,HRDT,HIV test,Air,2009,3,0,On Time,On Time,Separate,2865.63,16000.0,17.91,Not Applicable,170.0
45609,"Orgenics, Ltd",Zimbabwe,HRDT,HIV test - Ancillary,Air,2015,2,0,On Time,On Time,Absorbed,,25000.0,,Not Applicable,
45640,"RAININ INSTRUMENT, LLC.",South Africa,ARV,Pediatric,Truck,2014,1,0,On Time,On Time,Absorbed,,46.9,,Applicable,
45644,Aurobindo Pharma Limited,Côte d'Ivoire,ARV,Adult,Air,2014,2,0,On Time,On Time,Separate,1789.85,15160.0,11.81,Applicable,150.0
45648,"Trinity Biotech, Plc","Congo, DRC",HRDT,HIV test,Air,2014,2,0,On Time,On Time,Absorbed,,2880.0,,Not Applicable,
45652,S. BUYS WHOLESALER,South Africa,ARV,Adult,Truck,2013,2,0,On Time,On Time,Absorbed,,91.69,,Applicable,
45695,Aurobindo Pharma Limited,Haiti,ARV,Pediatric,Air,2012,3,0,On Time,On Time,Separate,1615.07,3951.36,40.87,Applicable,106.0
45705,Aurobindo Pharma Limited,South Africa,ARV,Adult,Ocean,2011,2,67,Late,Late,Absorbed,,192231.55,,Applicable,
45723,"Orgenics, Ltd",South Sudan,HRDT,HIV test - Ancillary,Air,2014,1,0,On Time,On Time,Separate,3256.76,920.0,354.0,Not Applicable,149.0
45729,Aurobindo Pharma Limited,South Africa,ARV,Adult,Ocean,2012,1,0,On Time,On Time,Separate,6599.86,678075.1,0.97,Applicable,4810.0
45741,"Trinity Biotech, Plc",South Sudan,HRDT,HIV test,Air,2015,3,0,On Time,On Time,Absorbed,,1120.0,,Not Applicable,
45793,PHARMACY DIRECT,South Africa,ARV,Adult,Truck,2015,2,0,On Time,On Time,Absorbed,,177172.11,,Applicable,
45801,BIOLYTICAL LABORATORIES INC.,Kenya,HRDT,HIV test,Air,2012,1,0,On Time,On Time,Separate,836.14,2657.28,31.47,Not Applicable,58.0
45848,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Congo, DRC",ARV,Pediatric,Air,2013,4,-2,On Time,Early,Separate,1573.41,616.4,255.26,Applicable,52.0
45929,"Orgenics, Ltd",Mozambique,HRDT,HIV test,Air,2014,1,0,On Time,On Time,Separate,29244.02,766000.0,3.82,Not Applicable,3890.0
45968,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Vietnam,ARV,Adult,Air,2009,3,0,On Time,On Time,Separate,823.94,26304.0,3.13,Applicable,88.0
45977,Aurobindo Pharma Limited,Tanzania,ARV,Adult,Air,2014,1,0,On Time,On Time,Separate,5765.11,109533.96,5.26,Applicable,1104.0
46005,CIPLA LIMITED,Rwanda,ARV,Pediatric,Air,2012,2,0,On Time,On Time,Separate,3010.89,18651.75,16.14,Applicable,6490.0
46010,HETERO LABS LIMITED,Rwanda,ARV,Adult,Air,2010,4,0,On Time,On Time,Absorbed,,166990.56,,Applicable,3700.0
46067,LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),Tanzania,ARV,Adult,Air,2011,3,0,On Time,On Time,Absorbed,,433421.37,,Applicable,
46082,"Trinity Biotech, Plc",Ethiopia,HRDT,HIV test,Air,2012,2,0,On Time,On Time,Separate,406.68,1376.0,29.56,Not Applicable,15.0
