ID,Country,Vendor,Shipment_Mode,Year,Quarter,Month,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Delay_Days,On_Time_Delivery,Delivery_Status,Product_Group,Line_Item_Value,Freight_Cost_USD,Freight_Type,Weight_Kilograms,Freight_Cost_Ratio
1361,Vietnam,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,2007,3,8,2007-08-27,2007-08-27,0,On Time,On Time,ARV,41095.0,1767.38,Separate,117.0,4.3
1383,Tanzania,"Standard Diagnostics, Inc.",Air,2007,3,9,2007-09-19,2007-09-19,0,On Time,On Time,HRDT,200000.0,25165.3,Separate,3336.0,12.58
1502,Rwanda,ASPEN PHARMACARE,Air,2008,1,1,2008-01-28,2008-01-28,0,On Time,On Time,ARV,27353.0,7922.24,Separate,157.0,28.96
1519,Vietnam,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,2008,1,3,2008-03-28,2008-03-28,0,On Time,On Time,ARV,18333.0,2535.4,Separate,337.0,13.83
1527,Nigeria,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Air,2008,1,1,2008-01-21,2008-01-21,0,On Time,On Time,HRDT,270000.0,28002.75,Separate,3336.0,10.37
1529,Rwanda,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Air,2008,1,1,2008-01-28,2008-01-28,0,On Time,On Time,ARV,30222.5,1511.25,Separate,113.0,5.0
1530,Vietnam,Aurobindo Pharma Limited,Air,2008,1,2,2008-02-01,2008-02-01,0,On Time,On Time,ARV,2100.0,2429.85,Separate,125.0,115.71
1531,Kazakhstan,Orasure Technologies Inc.,Air,2007,4,12,2007-12-27,2007-12-27,0,On Time,On Time,HRDT,17500.0,,Absorbed,,
1549,Nigeria,"Orgenics, Ltd",Air,2008,1,2,2008-02-05,2008-02-05,0,On Time,On Time,HRDT,51993.5,2577.27,Separate,148.0,4.96
1593,Botswana,"Trinity Biotech, Plc",Air,2008,3,7,2008-07-03,2008-07-03,0,On Time,On Time,HRDT,14400.0,2496.62,Separate,154.0,17.34
1594,Nigeria,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Air,2008,3,9,2008-09-19,2008-07-16,-65,On Time,Early,HRDT,277290.0,18864.37,Separate,2907.0,6.8
1618,Mozambique,"Trinity Biotech, Plc",Air,2008,1,3,2008-03-27,2008-03-27,0,On Time,On Time,HRDT,288000.0,55746.59,Separate,9000.0,19.36
1628,Zambia,"Trinity Biotech, Plc",Air,2008,2,5,2008-05-14,2008-05-14,0,On Time,On Time,HRDT,193280.0,24689.0,Separate,2052.0,12.77
1634,Zambia,"Orgenics, Ltd",Air,2008,2,6,2008-06-06,2008-05-30,-7,On Time,Early,HRDT,43.0,,Absorbed,284.0,
1637,Côte d'Ivoire,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Air,2009,1,3,2009-03-04,2009-03-04,0,On Time,On Time,HRDT,7803.0,1104.69,Separate,79.0,14.16
1638,Mozambique,"Orgenics, Ltd",Air,2008,3,7,2008-07-09,2008-07-04,-5,On Time,Early,HRDT,215970.0,5298.9,Separate,682.0,2.45
1643,Côte d'Ivoire,"Orgenics, Ltd",Air,2008,2,4,2008-04-08,2008-04-04,-4,On Time,Early,HRDT,0.7,,Absorbed,,
1644,Côte d'Ivoire,"Orgenics, Ltd",Air,2008,3,7,2008-07-22,2008-07-22,0,On Time,On Time,HRDT,78120.0,5175.72,Separate,255.0,6.63
